nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,othermanager,ticker
Select Sector SPDR Tr,SBI Healthcare,81369Y959,6004,60000,SH,OTR,60000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,2,
Homology Medicines Inc,COMM,438083107,2223,146372,SH,OTR,146372,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,FIXX
Horizon Therapeutics PLC,COMM,G46188101,5625,101208,SH,OTR,101208,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,HZNP
Immunovant Inc,COMM,45258J102,372,15275,SH,OTR,15275,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,
Insmed Inc,COMM,457669307,5334,193678,SH,OTR,193678,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,INSM
Intellia Therapeutics Inc,COMM,45826J105,483,22991,SH,OTR,22991,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,NTLA
Intra-Cellular Therapies Inc,COMM,46116X951,2256,87900,SH,OTR,87900,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,2,
Intra-Cellular Therapies Inc,COMM,46116X101,2484,96769,SH,OTR,96769,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,
Invesco QQQ Trust,UNIT SER 1,46090E953,2971,12000,SH,OTR,12000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,2,
Jazz Pharmaceuticals PLC,COMM,G50871105,10741,97343,SH,OTR,97343,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,JAZZ
Kadmon Holdings Inc,COMM,48283N106,3136,612563,SH,OTR,612563,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,KDMN
Kala Pharmaceuticals Inc,COMM,483119103,2130,202678,SH,OTR,202678,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,KALA
Kura Oncology Inc,COMM,50127T109,3985,244476,SH,OTR,244476,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,KURA
Liquidia Technologies Inc,COMM,53635D202,2694,320001,SH,OTR,320001,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,LQDA
Menlo Therapeutics Inc,COMM,586858102,502,290138,SH,OTR,290138,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,
Merck  Co Inc,COMM,58933Y105,13918,179976,SH,OTR,179976,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,MRK
Mersana Therapeutics Inc,COMM,59045L106,1289,55101,SH,OTR,55101,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,MRSN
Mirati Therapeutics Inc,COMM,60468T105,369,3230,SH,OTR,3230,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,MRTX
Mirum Pharmaceuticals Inc,COMM,604749101,4216,216669,SH,OTR,216669,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,MIRM
MyoKardia Inc,COMM,62857M105,4309,44599,SH,OTR,44599,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,MYOK
Novocure Ltd,COMM,G6674U908,1186,20000,SH,OTR,20000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,2,
Oric Pharmaceuticals Inc,COMM,68622P109,234,6942,SH,OTR,6942,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,ORIC
Otonomy Inc,COMM,68906L105,2278,629404,SH,OTR,629404,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,OTIC
PTC Therapeutics Inc,COMM,69366J200,8871,174827,SH,OTR,174827,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,PTCT
PTC Therapeutics Inc,COMM,69366J900,1218,24000,SH,OTR,24000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,2,
Pfizer Inc,COMM,717081903,2289,70000,SH,OTR,70000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,2,
Protagonist Therapeutics Inc,COMM,74366E102,2303,130418,SH,OTR,130418,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,PTGX
Puma Biotechnology Inc,COMM,74587V107,5009,480278,SH,OTR,480278,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,PBYI
Reata Pharmaceuticals Inc,COMM,75615P103,813,5209,SH,OTR,5209,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,RETA
Rigel Pharmaceuticals Inc,COMM,766559603,249,135969,SH,OTR,135969,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,RIGL
SPDR Ser Tr,SP Biotech,78464A950,6717,60000,SH,OTR,60000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,2,
Supernus Pharmaceuticals Inc,COMM,868459108,4532,190842,SH,OTR,190842,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,SUPN
Syndax Pharmaceuticals Inc,COMM,87164F105,535,36095,SH,OTR,36095,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,SNDX
TG Therapeutics Inc,COMM,88322Q108,5423,278370,SH,OTR,278370,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,TGTX
United Therapeutics Corp,COMM,91307C102,14738,121805,SH,OTR,121805,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,UTHR
Zymeworks Inc,COMM,98985W102,4764,132071,SH,OTR,132071,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,ZYME
iShares Tr,Russell 2000 ETF,464287955,4009,28000,SH,OTR,28000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,2,
